City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
321,buala,-8.145,159.5921,80.83,81,100,6.29,SB,12/05/22
322,choya,52.0108,86.5467,1.8,100,99,1.12,RU,12/05/22
323,sungaipenuh,-2.0833,101.3833,64.09,95,100,2.06,ID,12/05/22
324,zhadovka,53.5746,46.9498,7.74,90,19,2.59,RU,12/05/22
325,mwinilunga,-11.7358,24.4293,61.29,91,100,1.19,ZM,12/05/22
326,dawei,14.0833,98.2,75.81,82,20,7.45,MM,12/05/22
327,troitsko-pechorsk,62.7084,56.1964,0.91,98,98,4.92,RU,12/05/22
328,ojinaga,29.5667,-104.4167,80.56,41,0,0.0,MX,12/05/22
329,saint-augustin,51.226,-58.6502,22.42,82,5,4.94,CA,12/05/22
330,komsomolskiy,40.4272,71.7189,30.92,86,100,9.22,UZ,12/05/22
331,sao felix do xingu,-6.6447,-51.995,78.49,79,100,2.84,BR,12/05/22
332,cairns,-16.9167,145.7667,70.07,96,5,0.0,AU,12/05/22
333,bogovarovo,58.9785,47.0246,7.16,85,100,5.79,RU,12/05/22
334,tigil,57.8,158.6667,11.7,89,100,15.26,RU,12/05/22
335,grand-lahou,5.1367,-5.0242,79.21,85,85,5.55,CI,12/05/22
336,mahuva,21.0914,71.7622,73.89,36,0,11.01,IN,12/05/22
337,voyvozh,62.892,54.9635,-0.74,98,89,6.26,RU,12/05/22
338,ternovskaya,45.8542,40.4086,23.52,71,6,19.57,RU,12/05/22
339,ntungamo,-0.8833,29.65,61.7,96,89,3.69,UG,12/05/22
340,calatayud,41.3535,-1.6432,47.55,81,100,2.08,ES,12/05/22
341,socorro,31.6546,-106.3033,72.61,51,75,11.5,US,12/05/22
342,puerto del rosario,28.5004,-13.8627,69.55,78,20,1.14,ES,12/05/22
343,barabai,-2.5833,115.3833,73.62,95,99,0.96,ID,12/05/22
344,chenghai,23.4632,116.768,57.79,66,100,7.92,CN,12/05/22
345,evensk,61.95,159.2333,5.94,92,100,7.47,RU,12/05/22
346,messina,38.1933,15.5497,59.2,82,20,4.61,IT,12/05/22
347,itoman,26.1247,127.6694,66.22,88,75,26.46,JP,12/05/22
348,wodonga,-36.1167,146.8833,52.97,100,1,2.71,AU,12/05/22
349,gornopravdinsk,60.05,69.9,-6.84,100,100,2.95,RU,12/05/22
350,northam,51.0333,-4.2167,45.39,86,100,14.61,GB,12/05/22
351,tabou,4.423,-7.3528,78.94,83,100,3.49,CI,12/05/22
352,sfantu gheorghe,45.8667,25.7833,31.93,83,100,3.36,RO,12/05/22
353,tacoronte,28.4769,-16.4102,63.82,86,100,3.44,ES,12/05/22
